order_id,order_line_id,product_id,base_price,quantity,rebate,currency,order_datetime,order_status,customer_id
208014,8613,81520,45.01,6,5.83,EUR,2023-06-26 07:32:01,COMPLETED,3227
383160,8041,43759,54.5,2,0.31,EUR,2023-01-19 07:22:19,PROCESSING,5380
338965,4412,44909,43.12,6,5.66,EUR,2023-03-27 15:10:08,CANCELLED,4516
281770,8967,51080,51.16,2,6.28,EUR,2023-04-02 06:21:06,COMPLETED,1550
436725,298,30301,51.13,6,8.35,EUR,2023-05-30 08:36:20,SHIPPED,9483
833603,6634,75111,26.55,8,0.23,EUR,2023-02-06 22:09:55,CANCELLED,6137
545578,938,23619,65.68,6,9.33,EUR,2023-03-04 23:56:29,SHIPPED,7988
493310,7698,50727,24.58,1,1.73,EUR,2023-06-28 22:33:55,SHIPPED,6947
953844,6033,26756,49.96,3,8.02,EUR,2023-04-18 00:57:20,WAITING_PAYMENT,9362
203831,7928,87665,17.06,3,7.25,EUR,2023-02-21 01:18:29,COMPLETED,9645
689422,5452,60016,50.56,2,3.67,EUR,2023-04-24 06:43:49,PROCESSING,5241
905864,791,32170,50.43,6,2.12,USD,2023-02-11 12:48:09,SHIPPED,2878
373760,3205,17087,22.61,8,6.41,EUR,2023-03-17 12:30:00,CANCELLED,9579
77683,4133,47885,18.7,2,0.18,EUR,2023-04-18 17:18:00,COMPLETED,6259
997541,3231,37618,37.67,8,1.35,EUR,2023-04-25 16:35:46,CANCELLED,4362
330289,4400,58012,95.5,6,2.76,EUR,2023-03-30 09:09:48,COMPLETED,3374
300722,9320,51318,28.18,3,0.82,EUR,2023-05-25 18:34:15,COMPLETED,3414
65881,7165,1512,35.36,9,0.71,EUR,2023-06-27 11:27:24,PROCESSING,1051
773106,4701,81937,18.24,10,8.28,EUR,2023-02-28 10:27:34,CANCELLED,4731
316512,9591,56700,23.0,7,2.48,EUR,2023-04-30 04:56:51,PROCESSING,363
301366,1613,44204,80.56,8,9.43,EUR,2023-01-02 01:00:23,WAITING_PAYMENT,3061
818166,911,20665,46.0,6,9.88,EUR,2023-01-29 22:13:56,COMPLETED,7840
167008,8556,26900,97.33,7,9.8,EUR,2023-01-08 05:02:37,WAITING_PAYMENT,6456
